Column Names,Data Types,Total Count,Unique Values
index_time,"datetime64[ns, Asia/Singapore]",442428,433879
id_participant,object,442428,14
location_change,object,12921,1
q_clothing_color,object,1172,3
q_clothing_insulation,object,1172,3
q_clothing_material,object,1172,3
q_comfort_behavioral,object,1257,6
q_comfort_heatintensity,object,275,3
q_comfort_heatstress,object,1257,2
q_comfort_heatsymptoms,object,275,7
q_comfort_humidity,object,1427,3
q_comfort_ind-activity,object,376,4
q_comfort_out-activity,object,1427,5
q_comfort_preference,object,1803,3
q_comfort_sensation,object,1427,5
q_comfort_sun,object,427,5
q_comfort_sun_a,object,1000,3
q_comfort_sun_b,object,401,3
q_comfort_wind,object,1427,3
q_environment_shade,object,468,4
q_general_location_area,object,1803,2
q_general_location_change,object,1803,5
q_general_location_envi,object,1803,4
q_indoor_condition,object,376,4
si_ios_version,object,85,5
ts_HRV,float64,1187,1187
ts_HRV_lambda,object,1187,1187
ts_HRV_trigger,object,1187,3
ts_altitude,float64,12921,191
ts_altitude_lambda,object,12921,12921
ts_altitude_trigger,object,12921,1
ts_heart_rate,float64,102487,149
ts_heart_rate_lambda,object,102487,102487
ts_heart_rate_trigger,object,102487,4
ts_latitude,float64,12921,12660
ts_latitude_lambda,object,12921,12921
ts_latitude_trigger,object,12921,1
ts_location_accuracy_horizontal,float64,12921,558
ts_location_accuracy_vertical,float64,12921,236
ts_location_floor,float64,12921,1
ts_longitude,float64,12921,12655
ts_longitude_lambda,object,12921,12921
ts_longitude_trigger,object,12921,1
ts_oxygen_saturation,float64,658,17
ts_oxygen_saturation_lambda,object,658,658
ts_oxygen_saturation_trigger,object,658,3
ts_resting_heart_rate,float64,198,44
ts_resting_heart_rate_lambda,object,198,198
ts_resting_heart_rate_trigger,object,198,3
ts_step_count,float64,27243,1024
ts_step_count_lambda,object,27243,27243
ts_step_count_trigger,object,27243,4
ts_timestamp_location,object,12921,12757
ts_walking_distance,float64,47224,36070
ts_walking_distance_lambda,object,47224,47224
ts_walking_distance_trigger,object,47224,4
ws_HRV,float64,1569,1555
ws_HRV_lambda,object,1569,1569
ws_HRV_trigger,object,1569,1
ws_altitude,float64,1803,1627
ws_altitude_lambda,object,1803,1803
ws_altitude_trigger,object,1803,1
ws_heart_rate,float64,147013,153
ws_heart_rate_lambda,object,147013,147013
ws_heart_rate_trigger,object,147013,1
ws_latitude,float64,1803,1662
ws_latitude_lambda,object,1803,1803
ws_latitude_trigger,object,1803,1
ws_location_accuracy_horizontal,float64,1803,630
ws_location_accuracy_vertical,float64,1803,1555
ws_location_acquisition_method,object,1803,1
ws_location_floor,float64,1803,1
ws_location_source_device,object,1803,1
ws_longitude,float64,1803,1660
ws_longitude_lambda,object,1803,1803
ws_longitude_trigger,object,1803,1
ws_oxygen_saturation,float64,925,20
ws_oxygen_saturation_lambda,object,925,925
ws_oxygen_saturation_trigger,object,925,1
ws_resting_heart_rate,float64,265,46
ws_resting_heart_rate_lambda,object,265,265
ws_resting_heart_rate_trigger,object,265,1
ws_step_count,float64,38001,1083
ws_step_count_lambda,object,38001,38001
ws_step_count_trigger,object,38001,1
ws_survey_count,float64,1803,339
ws_survey_count_lambda,object,1803,1803
ws_survey_count_trigger,object,1803,1
ws_timestamp_location,object,1770,1721
ws_timestamp_start,object,1803,1795
ws_walking_distance,float64,79534,62810
ws_walking_distance_lambda,object,79534,79534
ws_walking_distance_trigger,object,79534,1
